
2024/02/23 (07:04:28) | ===> btop++ v.1.3.2
2024/02/23 (07:04:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (07:05:30) | ===> btop++ v.1.3.2
2024/02/23 (07:05:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (07:06:14) | ===> btop++ v.1.3.2
2024/02/23 (07:06:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (07:06:43) | ===> btop++ v.1.3.2
2024/02/23 (07:06:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (18:40:16) | ===> btop++ v.1.3.2
2024/02/23 (18:40:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (21:53:36) | ===> btop++ v.1.3.2
2024/02/23 (21:53:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (21:54:02) | ===> btop++ v.1.3.2
2024/02/23 (21:54:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (23:04:18) | ===> btop++ v.1.3.2
2024/02/23 (23:04:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (23:59:11) | ===> btop++ v.1.3.2
2024/02/23 (23:59:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (00:12:58) | ===> btop++ v.1.3.2
2024/02/27 (00:12:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (00:13:21) | ===> btop++ v.1.3.2
2024/02/27 (00:13:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (00:14:13) | ===> btop++ v.1.3.2
2024/02/27 (00:14:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (21:35:56) | ===> btop++ v.1.3.2
2024/02/27 (21:35:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (21:39:31) | ===> btop++ v.1.3.2
2024/02/27 (21:39:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (21:53:05) | ===> btop++ v.1.3.2
2024/02/27 (21:53:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/07 (07:19:48) | ===> btop++ v.1.3.2
2024/03/07 (07:19:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/07 (07:20:19) | ===> btop++ v.1.3.2
2024/03/07 (07:20:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/08 (20:17:15) | ===> btop++ v.1.3.2
2024/03/08 (20:17:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/10 (21:40:57) | ===> btop++ v.1.3.2
2024/03/10 (21:40:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
